I, [2024-11-09T16:39:00.006947 #28780]  INFO -- : Processed file: example_file
I, [2024-11-09T16:39:00.010361 #28780]  INFO -- : Processed file: Initialized SimpleWebsiteParser with config ./config/yaml/web_parser.yaml
I, [2024-11-09T16:39:00.010418 #28780]  INFO -- : Processed file: Starting parsing process
I, [2024-11-09T16:39:01.605672 #28780]  INFO -- : Processed file: Extracted 24 product links
I, [2024-11-09T16:39:03.510059 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233188637_w269_h230_shlifmashina-kutova-125mm.jpg
I, [2024-11-09T16:39:03.532909 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233218964_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:03.570445 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233217251_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:03.597231 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233258743_w269_h230_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:03.611780 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/a0e7ee18-5fc6-4001-a14a-7948235a2d97.jpg
I, [2024-11-09T16:39:03.611938 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 125 мм з контролем швидкості YATO YT-82098, price: 2 000 ₴, description: , category: 24ka, image_path: media_dir/24ka/a0e7ee18-5fc6-4001-a14a-7948235a2d97.jpg
I, [2024-11-09T16:39:03.612082 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 125 мм з контролем швидкості YATO YT-82098, Price: 2 000 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/a0e7ee18-5fc6-4001-a14a-7948235a2d97.jpg
I, [2024-11-09T16:39:03.611869 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/3af53abb-a4f4-40d2-885c-6d9de08ce73b.jpg
I, [2024-11-09T16:39:03.612401 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова 125мм YATO YT-82101, price: 1 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/3af53abb-a4f4-40d2-885c-6d9de08ce73b.jpg
I, [2024-11-09T16:39:03.612512 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова 125мм YATO YT-82101, Price: 1 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/3af53abb-a4f4-40d2-885c-6d9de08ce73b.jpg
I, [2024-11-09T16:39:03.621959 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233238780_w1081_h473_rizak-dlya-metalu.jpg
